id,v1x,v1y,v2x,v2y,v3x,v3y,type,num_polygon_edges
198,-96.998,41.7854,-97.0198,41.7468,-97.0217,41.743,INTERNAL,0
199,-97.0112,41.7686,-97.0147,41.764,-97.0198,41.7486,INTERNAL,0
200,-97.0147,41.764,-97.0172,41.7608,-97.0198,41.7506,INTERNAL,0
201,-97.0172,41.7608,-97.0183,41.7594,-97.0198,41.7521,INTERNAL,0
202,-97.0183,41.7594,-97.0188,41.7588,-97.0198,41.7532,INTERNAL,0
203,-97.0199,41.743,-96.9926,41.7725,-97.0199,41.7448,INTERNAL,0
204,-97.0191,41.743,-97.0171,41.743,-97.016,41.7443,INTERNAL,0
205,-97.0191,41.743,-97.016,41.7443,-96.9926,41.7725,INTERNAL,0
206,-96.9926,41.7725,-96.9651,41.8103,-97.0199,41.7451,INTERNAL,0
207,-96.9926,41.7725,-97.0199,41.7451,-97.0217,41.743,INTERNAL,0
208,-96.9549,41.8242,-96.9348,41.8517,-97.0199,41.7452,INTERNAL,0
209,-96.9549,41.8242,-97.0199,41.7452,-97.0217,41.743,INTERNAL,0
210,-96.9348,41.8517,-96.908,41.8884,-97.0199,41.7452,INTERNAL,0
211,-96.9348,41.8517,-97.0199,41.7452,-97.0217,41.743,INTERNAL,0
212,-96.908,41.8884,-96.8656,41.9466,-97.0199,41.7453,INTERNAL,0
213,-96.908,41.8884,-97.0199,41.7453,-97.0217,41.743,INTERNAL,0
214,-96.8617,41.9519,-96.7631,42.087,-97.0199,41.7454,INTERNAL,0
215,-96.8617,41.9519,-97.0199,41.7454,-97.0217,41.743,INTERNAL,0
216,-96.7631,42.087,-97.0036,41.7429,-97.0033,41.7429,INTERNAL,0
217,-96.7631,42.087,-97.0033,41.7429,-97.0028,41.7429,INTERNAL,0
218,-96.7631,42.087,-97.0008,41.7429,-97.0008,41.7429,INTERNAL,0
219,-96.7631,42.087,-97.0008,41.7429,-97.0005,41.7429,INTERNAL,0
220,-96.9477,41.7446,-96.9457,41.7482,-96.9943,41.743,INTERNAL,0
221,-96.9477,41.7446,-96.9943,41.743,-96.995,41.7429,INTERNAL,0
222,-96.9457,41.7482,-96.7631,42.087,-96.995,41.743,INTERNAL,0
223,-96.9457,41.7482,-96.995,41.743,-96.995,41.7429,INTERNAL,0
224,-96.7631,42.087,-96.9442,41.7511,-96.9331,41.7428,INTERNAL,0
225,-96.7631,42.087,-96.9331,41.7428,-96.933,41.7427,INTERNAL,0
226,-96.9105,41.7502,-96.933,41.7427,-96.9318,41.7428,INTERNAL,0
227,-96.9105,41.7502,-96.9318,41.7428,-96.9132,41.7441,INTERNAL,0
228,-96.7631,42.087,-96.933,41.7427,-96.9327,41.7428,INTERNAL,0
229,-96.7631,42.087,-96.9327,41.7428,-96.9105,41.7502,INTERNAL,0
230,-96.7631,42.087,-96.9119,41.7472,-96.8675,41.7427,INTERNAL,0
231,-96.7631,42.087,-96.8675,41.7427,-96.8674,41.7427,INTERNAL,0
232,-96.9119,41.7472,-96.9134,41.7436,-96.8681,41.7427,INTERNAL,0
233,-96.9119,41.7472,-96.8681,41.7427,-96.8674,41.7427,INTERNAL,0
234,-96.8463,41.7448,-96.8675,41.7426,-96.865,41.7427,INTERNAL,0
235,-96.8463,41.7448,-96.865,41.7427,-96.8465,41.7438,INTERNAL,0
236,-96.8462,41.7451,-96.7631,42.087,-96.8674,41.7427,INTERNAL,0
237,-96.8462,41.7451,-96.8674,41.7427,-96.8675,41.7426,INTERNAL,0
238,-96.7631,42.087,-96.8436,41.7556,-96.82,41.7426,INTERNAL,0
239,-96.7631,42.087,-96.82,41.7426,-96.8196,41.7424,INTERNAL,0
240,-96.8436,41.7556,-96.8453,41.7488,-96.8204,41.7426,INTERNAL,0
241,-96.8436,41.7556,-96.8204,41.7426,-96.8196,41.7424,INTERNAL,0
242,-96.7905,41.7443,-96.8196,41.7426,-96.817,41.7426,INTERNAL,0
243,-96.7905,41.7443,-96.817,41.7426,-96.7906,41.7433,INTERNAL,0
244,-96.7897,41.7548,-96.8196,41.7426,-96.8188,41.7426,INTERNAL,0
245,-96.7897,41.7548,-96.8188,41.7426,-96.7905,41.7451,INTERNAL,0
246,-96.7897,41.7548,-96.7631,42.087,-96.8196,41.7426,INTERNAL,0
247,-96.7897,41.7548,-96.8196,41.7426,-96.8196,41.7426,INTERNAL,0
248,-96.7781,41.7478,-96.7907,41.7424,-96.7897,41.7426,INTERNAL,0
249,-96.7781,41.7478,-96.7897,41.7426,-96.7782,41.745,INTERNAL,0
250,-96.7907,41.7424,-96.7781,41.7478,-96.778,41.7516,INTERNAL,0
251,-96.7631,42.087,-96.7765,41.784,-96.7635,41.7425,INTERNAL,0
252,-96.7631,42.087,-96.7635,41.7425,-96.7634,41.7423,INTERNAL,0
253,-96.7765,41.784,-96.7783,41.7449,-96.7646,41.7425,INTERNAL,0
254,-96.7765,41.784,-96.7646,41.7425,-96.7634,41.7423,INTERNAL,0
255,-96.7783,41.7449,-96.7783,41.7438,-96.7655,41.7425,INTERNAL,0
256,-96.7783,41.7449,-96.7655,41.7425,-96.7634,41.7423,INTERNAL,0
257,-96.7783,41.7438,-96.7783,41.743,-96.7681,41.7425,INTERNAL,0
258,-96.7783,41.7438,-96.7681,41.7425,-96.7634,41.7423,INTERNAL,0
259,-97.0192,42.0786,-97.0195,42.0868,-97.0196,42.0823,INTERNAL,0
260,-97.0215,42.0267,-97.0172,42.0335,-97.0174,42.034,INTERNAL,0
261,-97.0215,42.0267,-97.0174,42.034,-97.0176,42.0346,INTERNAL,0
262,-97.0115,41.9954,-97.0153,42.0073,-97.0195,42.0098,INTERNAL,0
263,-97.022,42.0113,-97.0153,42.0073,-97.0154,42.0078,INTERNAL,0
264,-97.022,42.0113,-97.0154,42.0078,-97.0156,42.0085,INTERNAL,0
265,-97.022,42.0113,-97.0179,42.0156,-97.0182,42.0164,INTERNAL,0
266,-97.0175,41.9984,-97.0202,41.9514,-97.02,41.9511,INTERNAL,0
267,-97.0175,41.9984,-97.02,41.9511,-97.0199,41.9509,INTERNAL,0
268,-97.0175,41.9984,-97.0199,41.9509,-97.0198,41.9508,INTERNAL,0
269,-96.9598,41.8345,-97.0168,41.9449,-97.0198,41.9325,INTERNAL,0
270,-96.9598,41.8345,-97.0198,41.9325,-97.02,41.9318,INTERNAL,0
271,-96.9598,41.8345,-97.02,41.9318,-97.0204,41.9299,INTERNAL,0
272,-96.9598,41.8345,-97.0245,41.9132,-97.0245,41.9131,INTERNAL,0
273,-96.9598,41.8345,-97.0245,41.9131,-97.0245,41.9129,INTERNAL,0
274,-97.0179,41.9403,-97.0177,41.9414,-97.0199,41.9477,INTERNAL,0
275,-97.0238,41.9585,-97.0169,41.9445,-97.0168,41.9449,INTERNAL,0
276,-97.0167,41.7849,-97.0206,41.7564,-97.0205,41.7566,INTERNAL,0
277,-97.0167,41.7849,-97.0205,41.7566,-97.0204,41.7567,INTERNAL,0
278,-97.0167,41.7849,-97.0204,41.7567,-97.0203,41.7569,INTERNAL,0
279,-97.0167,41.7849,-97.0203,41.7569,-97.02,41.7573,INTERNAL,0
280,-97.0165,41.8305,-97.0196,41.8345,-97.0178,41.8304,INTERNAL,0
281,-97.0274,41.8524,-97.0142,41.8307,-97.014,41.8307,INTERNAL,0
282,-96.9598,41.8345,-97.0196,41.8303,-97.0196,41.83,INTERNAL,0
283,-96.9598,41.8345,-97.0196,41.83,-97.0136,41.7655,INTERNAL,0
284,-97.0136,41.7655,-97.0198,41.8303,-97.0199,41.8303,INTERNAL,0
285,-97.0136,41.7655,-97.0199,41.8303,-97.0201,41.8303,INTERNAL,0
286,-97.0136,41.7655,-97.0212,41.8302,-97.0213,41.8302,INTERNAL,0
287,-96.8641,41.9574,-96.8633,42.014,-96.8868,42.0905,INTERNAL,0
288,-96.8633,42.014,-96.8633,42.0161,-96.8865,42.0905,INTERNAL,0
289,-96.8633,42.0161,-96.8631,42.0331,-96.8838,42.0905,INTERNAL,0
290,-96.8631,42.0331,-96.863,42.0386,-96.8827,42.0905,INTERNAL,0
291,-96.863,42.0386,-96.863,42.0405,-96.8823,42.0905,INTERNAL,0
292,-96.863,42.0405,-96.8629,42.0429,-96.8817,42.0905,INTERNAL,0
293,-96.8629,42.0429,-96.8628,42.0524,-96.8794,42.0905,INTERNAL,0
294,-96.8626,42.0664,-96.8626,42.0698,-96.8737,42.0905,INTERNAL,0
295,-96.8626,42.0698,-96.8625,42.0727,-96.8725,42.0904,INTERNAL,0
296,-96.8625,42.0727,-96.8625,42.0737,-96.872,42.0905,INTERNAL,0
297,-96.8625,42.0738,-96.8623,42.0879,-96.8641,42.0905,INTERNAL,0
298,-96.9598,41.8345,-96.9596,41.8348,-96.9067,42.0905,INTERNAL,0
299,-96.9598,41.8345,-96.9067,42.0905,-96.8995,42.125,INTERNAL,0
300,-96.9596,41.8348,-96.9265,41.8772,-96.9033,42.0905,INTERNAL,0
301,-96.9265,41.8772,-96.9106,41.8976,-96.9012,42.0905,INTERNAL,0
302,-96.9106,41.8976,-96.8992,41.9123,-96.8995,42.0905,INTERNAL,0
303,-96.8992,41.9123,-96.8963,41.9159,-96.899,42.0905,INTERNAL,0
304,-96.8963,41.9159,-96.8752,41.9431,-96.8949,42.0905,INTERNAL,0
305,-96.8752,41.9431,-96.8664,41.9543,-96.8928,42.0905,INTERNAL,0
306,-96.9598,41.8345,-96.9298,42.0905,-96.9563,41.9741,INTERNAL,0
307,-96.7631,42.087,-96.7631,42.0874,-96.783,42.0903,INTERNAL,0
308,-96.7631,42.0874,-96.7631,42.0877,-96.7819,42.0903,INTERNAL,0
309,-96.7631,42.0877,-96.7631,42.0878,-96.7814,42.0903,INTERNAL,0
310,-96.7631,42.0878,-96.7631,42.0881,-96.78,42.0903,INTERNAL,0
311,-96.7793,42.0905,-96.78,42.0903,-96.7631,42.0881,INTERNAL,0
312,-96.7631,42.0885,-96.7631,42.0887,-96.7772,42.0903,INTERNAL,0
