split_id,iteration,is_lookahead,p1x,p1y,p2x,p2y,p3x,p3y,split_sx,split_sy,split_tx,split_ty,c1_1x,c1_1y,c1_2x,c1_2y,c1_3x,c1_3y,c2_1x,c2_1y,c2_2x,c2_2y,c2_3x,c2_3y
54,54,1,995515979,1005510827,993133011,1190190821,993054675,1003882785,993054675,1003882785,995478812,1008391261,993054675,1003882785,995515979,1005510827,995478812,1008391261,993054675,1003882785,995478812,1008391261,993133011,1190190821
55,55,1,995515979,1005510827,993054675,1003882785,993054446,1003338250,995515979,1005510827,993054501,1003468594,995515979,1005510827,993054675,1003882785,993054501,1003468594,995515979,1005510827,993054501,1003468594,993054446,1003338250
56,56,1,993051365,996009619,993560628,996006905,993560291,996011786,993560291,996011786,993410018,996007708,993560291,996011786,993051365,996009619,993410018,996007708,993560291,996011786,993410018,996007708,993560628,996006905
57,57,1,993051365,996009619,993560291,996011786,993054446,1003338250,993054446,1003338250,993226033,996010363,993054446,1003338250,993051365,996009619,993226033,996010363,993054446,1003338250,993226033,996010363,993560291,996011786
58,58,1,994107070,996003992,993054446,1003338250,993560127,996014165,993054446,1003338250,993828294,996009177,993054446,1003338250,993560127,996014165,993828294,996009177,993054446,1003338250,993828294,996009177,994107070,996003992
59,59,1,994107070,996003992,993560127,996014165,993560628,996006905,993560127,996014165,993680119,996006268,993560127,996014165,993560628,996006905,993680119,996006268,993560127,996014165,993680119,996006268,994107070,996003992
60,60,1,995099438,995998702,993054446,1003338250,994104658,996020795,993054446,1003338250,994876431,996003655,993054446,1003338250,994104658,996020795,994876431,996003655,993054446,1003338250,994876431,996003655,995099438,995998702
61,61,1,995099438,995998702,994104658,996020795,994107070,996003992,994104658,996020795,994580609,996001467,994104658,996020795,994107070,996003992,994580609,996001467,994104658,996020795,994580609,996001467,995099438,995998702
62,62,1,995638753,995995827,993054446,1003338250,995096000,996011039,995096000,996011039,995636826,996001302,995096000,996011039,995638753,995995827,995636826,996001302,995096000,996011039,995636826,996001302,993054446,1003338250
63,63,1,995638753,995995827,995096000,996011039,995099438,995998702,995099438,995998702,995213638,996007742,995099438,995998702,995638753,995995827,995213638,996007742,995099438,995998702,995213638,996007742,995096000,996011039
64,64,1,993054823,1004234264,989857706,996026644,989969571,996026048,989969571,996026048,990095244,996636450,989969571,996026048,993054823,1004234264,990095244,996636450,989969571,996026048,990095244,996636450,989857706,996026644
65,65,1,993054823,1004234264,989969571,996026048,990059285,996025570,989969571,996026048,990316683,996730919,989969571,996026048,990059285,996025570,990316683,996730919,989969571,996026048,990316683,996730919,993054823,1004234264
66,66,1,993054823,1004234264,990059285,996025570,990195396,996024844,993054823,1004234264,990156572,996025051,993054823,1004234264,990059285,996025570,990156572,996025051,993054823,1004234264,990156572,996025051,990195396,996024844
67,67,1,993054823,1004234264,990195396,996024844,990288075,996024350,993054823,1004234264,990222114,996024702,993054823,1004234264,990195396,996024844,990222114,996024702,993054823,1004234264,990222114,996024702,990288075,996024350
68,68,1,990288075,996024350,990840945,996021403,990841915,996024999,990841915,996024999,990560929,996022895,990841915,996024999,990288075,996024350,990560929,996022895,990841915,996024999,990560929,996022895,990840945,996021403
69,69,1,990288075,996024350,990841915,996024999,993054823,1004234264,990288075,996024350,990842811,996028324,990288075,996024350,990841915,996024999,990842811,996028324,990288075,996024350,990842811,996028324,993054823,1004234264
70,70,1,993054823,1004234264,990840945,996021403,991028044,996020405,991028044,996020405,990842515,996027226,991028044,996020405,993054823,1004234264,990842515,996027226,991028044,996020405,990842515,996027226,990840945,996021403
71,71,1,993054823,1004234264,991028044,996020405,991256738,996019186,991028044,996020405,991257928,996024620,991028044,996020405,991256738,996019186,991257928,996024620,991028044,996020405,991257928,996024620,993054823,1004234264
72,72,1,991809926,996016237,993054823,1004234264,991258108,996025443,991258108,996025443,991810273,996018526,991258108,996025443,991809926,996016237,991810273,996018526,991258108,996025443,991810273,996018526,993054823,1004234264
73,73,1,991809926,996016237,991258108,996025443,991256738,996019186,991258108,996025443,991519555,996017785,991258108,996025443,991256738,996019186,991519555,996017785,991258108,996025443,991519555,996017785,991809926,996016237
74,74,1,993054823,1004234264,991809926,996016237,992056192,996014924,991809926,996016237,992057024,996021773,991809926,996016237,992056192,996014924,992057024,996021773,991809926,996016237,992057024,996021773,993054823,1004234264
75,75,1,993054823,1004234264,992056192,996014924,992381028,996013193,992381028,996013193,992057249,996023625,992381028,996013193,993054823,1004234264,992057249,996023625,992381028,996013193,992057249,996023625,992056192,996014924
76,76,1,992381028,996013193,992725662,996011356,992726389,996029510,992726389,996029510,992520783,996012448,992726389,996029510,992381028,996013193,992520783,996012448,992726389,996029510,992520783,996012448,992725662,996011356
77,77,1,992381028,996013193,992726389,996029510,993054823,1004234264,992726389,996029510,992381281,996016285,992726389,996029510,993054823,1004234264,992381281,996016285,992726389,996029510,992381281,996016285,992381028,996013193
78,78,1,993054823,1004234264,992725662,996011356,992872789,996010571,992725662,996011356,992872930,996016927,992725662,996011356,992872789,996010571,992872930,996016927,992725662,996011356,992872930,996016927,993054823,1004234264
79,79,1,993054823,1004234264,992872789,996010571,993051365,996009619,993051365,996009619,992872943,996017534,993051365,996009619,993054823,1004234264,992872943,996017534,993051365,996009619,992872943,996017534,992872789,996010571
80,80,1,990708181,998209978,993133011,1190190821,989997609,1004320287,989997609,1004320287,990785389,1004322832,989997609,1004320287,990708181,998209978,990785389,1004322832,989997609,1004320287,990785389,1004322832,993133011,1190190821
81,81,1,990708181,998209978,989997609,1004320287,989979679,1003257336,989997609,1004320287,990008283,1003059154,989997609,1004320287,989979679,1003257336,990008283,1003059154,989997609,1004320287,990008283,1003059154,990708181,998209978
82,82,1,990708181,998209978,989979679,1003257336,989965680,1002427515,990708181,998209978,989971918,1002797259,990708181,998209978,989979679,1003257336,989971918,1002797259,990708181,998209978,989971918,1002797259,989965680,1002427515
83,83,1,990708181,998209978,989965680,1002427515,989944450,1001168925,989944450,1001168925,990019735,1002120477,989944450,1001168925,990708181,998209978,990019735,1002120477,989944450,1001168925,990019735,1002120477,989965680,1002427515
84,84,1,990708181,998209978,989944450,1001168925,989924543,999988840,989924543,999988840,990028170,1000844563,989924543,999988840,990708181,998209978,990028170,1000844563,989924543,999988840,990028170,1000844563,989944450,1001168925
85,85,1,990708181,998209978,989924543,999988840,989901740,998637042,990708181,998209978,989908872,999059851,990708181,998209978,989924543,999988840,989908872,999059851,990708181,998209978,989908872,999059851,989901740,998637042
86,86,1,989901740,998637042,989857706,996026644,990066451,996562534,989857706,996026644,990029560,997027177,989857706,996026644,990066451,996562534,990029560,997027177,989857706,996026644,990029560,997027177,989901740,998637042
87,87,1,989901740,998637042,990066451,996562534,990708181,998209978,990708181,998209978,989944168,998102674,990708181,998209978,989901740,998637042,989944168,998102674,990708181,998209978,989944168,998102674,990066451,996562534
88,88,1,991850171,1001141688,991922944,1011866148,991371655,1005668648,991371655,1005668648,991867822,1003742954,991371655,1005668648,991850171,1001141688,991867822,1003742954,991371655,1005668648,991867822,1003742954,991922944,1011866148
89,89,1,991850171,1001141688,991371655,1005668648,990708181,998209978,990708181,998209978,991427292,1005142300,990708181,998209978,991850171,1001141688,991427292,1005142300,990708181,998209978,991427292,1005142300,991371655,1005668648
90,90,1,991922944,1011866148,993133011,1190190821,990750260,1001541548,990750260,1001541548,991972954,1019235920,990750260,1001541548,991922944,1011866148,991972954,1019235920,990750260,1001541548,991972954,1019235920,993133011,1190190821
91,91,1,991922944,1011866148,990750260,1001541548,990708181,998209978,990708181,998209978,991341699,1006748720,990708181,998209978,991922944,1011866148,991341699,1006748720,990708181,998209978,991341699,1006748720,990750260,1001541548
92,92,1,993054823,1004234264,993055862,1006705252,992554512,1004391815,992554512,1004391815,993054845,1004286646,992554512,1004391815,993054823,1004234264,993054845,1004286646,992554512,1004391815,993054845,1004286646,993055862,1006705252
93,93,1,993054823,1004234264,992554512,1004391815,991850171,1001141688,991850171,1001141688,992635125,1004366430,991850171,1001141688,993054823,1004234264,992635125,1004366430,991850171,1001141688,992635125,1004366430,992554512,1004391815
94,94,1,991850171,1001141688,993055862,1006705252,993057688,1011047914,993057688,1011047914,992279502,1003122803,993057688,1011047914,991850171,1001141688,992279502,1003122803,993057688,1011047914,992279502,1003122803,993055862,1006705252
95,95,1,991850171,1001141688,993057688,1011047914,993133011,1190190821,993133011,1190190821,992086069,1003076952,993133011,1190190821,991850171,1001141688,992086069,1003076952,993133011,1190190821,992086069,1003076952,993057688,1011047914
96,96,1,995608201,998363604,993054446,1003338250,995507120,996369816,995608201,998363604,995448700,996535797,995608201,998363604,993054446,1003338250,995448700,996535797,995608201,998363604,995448700,996535797,995507120,996369816
97,97,1,995608201,998363604,995507120,996369816,995638753,995995827,995507120,996369816,995622690,997240667,995507120,996369816,995638753,995995827,995622690,997240667,995507120,996369816,995622690,997240667,995608201,998363604
98,98,1,993054446,1003338250,995608201,998363604,995590779,999713835,993054446,1003338250,995596969,999234045,993054446,1003338250,995608201,998363604,995596969,999234045,993054446,1003338250,995596969,999234045,995590779,999713835
99,99,1,993054446,1003338250,995590779,999713835,995579489,1000588765,995590779,999713835,995479123,1000698052,995590779,999713835,995579489,1000588765,995479123,1000698052,995590779,999713835,995479123,1000698052,993054446,1003338250
100,100,1,993054446,1003338250,995579489,1000588765,995566097,1001626691,993054446,1003338250,995572166,1001156295,993054446,1003338250,995579489,1000588765,995572166,1001156295,993054446,1003338250,995572166,1001156295,995566097,1001626691
101,101,1,993054446,1003338250,995566097,1001626691,995554423,1002531420,993054446,1003338250,995562213,1001927637,993054446,1003338250,995566097,1001626691,995562213,1001927637,993054446,1003338250,995562213,1001927637,995554423,1002531420
102,102,1,993054446,1003338250,995554423,1002531420,995538658,1003753214,993054446,1003338250,995543545,1003374399,993054446,1003338250,995554423,1002531420,995543545,1003374399,993054446,1003338250,995543545,1003374399,995538658,1003753214
103,103,1,993054446,1003338250,995538658,1003753214,995529752,1004443387,993054446,1003338250,995533071,1004186190,993054446,1003338250,995538658,1003753214,995533071,1004186190,993054446,1003338250,995533071,1004186190,995529752,1004443387
104,104,1,995515979,1005510827,993054446,1003338250,994060379,1003787364,994060379,1003787364,994422234,1004545476,994060379,1003787364,995515979,1005510827,994422234,1004545476,994060379,1003787364,994422234,1004545476,993054446,1003338250
105,105,1,995515979,1005510827,994060379,1003787364,994641805,1004046950,994641805,1004046950,994778300,1004637399,994641805,1004046950,995515979,1005510827,994778300,1004637399,994641805,1004046950,994778300,1004637399,994060379,1003787364
106,106,1,995515979,1005510827,994641805,1004046950,994926299,1004173967,994926299,1004173967,994868168,1004426013,994926299,1004173967,995515979,1005510827,994868168,1004426013,994926299,1004173967,994868168,1004426013,994641805,1004046950
107,107,1,995515979,1005510827,994926299,1004173967,995529752,1004443387,995515979,1005510827,995082478,1004243695,995515979,1005510827,994926299,1004173967,995082478,1004243695,995515979,1005510827,995082478,1004243695,995529752,1004443387
108,108,1,993054675,1003882785,995515979,1005510827,995478812,1008391261,995478812,1008391261,993460040,1004150916,995478812,1008391261,993054675,1003882785,993460040,1004150916,995478812,1008391261,993460040,1004150916,995515979,1005510827
109,109,1,993054675,1003882785,995478812,1008391261,993133011,1190190821,995478812,1008391261,993054763,1004091180,995478812,1008391261,993133011,1190190821,993054763,1004091180,995478812,1008391261,993054763,1004091180,993054675,1003882785
110,110,1,995515979,1005510827,993054675,1003882785,993054501,1003468594,993054501,1003468594,994082693,1004562773,993054501,1003468594,995515979,1005510827,994082693,1004562773,993054501,1003468594,994082693,1004562773,993054675,1003882785
111,111,1,995515979,1005510827,993054501,1003468594,993054446,1003338250,993054446,1003338250,994465206,1004639025,993054446,1003338250,995515979,1005510827,994465206,1004639025,993054446,1003338250,994465206,1004639025,993054501,1003468594
112,112,1,993560291,996011786,993051365,996009619,993410018,996007708,993051365,996009619,993510365,996010431,993051365,996009619,993410018,996007708,993510365,996010431,993051365,996009619,993510365,996010431,993560291,996011786
113,114,1,993054446,1003338250,993051365,996009619,993226033,996010363,993051365,996009619,993225834,996018865,993051365,996009619,993226033,996010363,993225834,996018865,993051365,996009619,993225834,996018865,993054446,1003338250
114,115,1,993054446,1003338250,993226033,996010363,993560291,996011786,993226033,996010363,993559783,996019142,993226033,996010363,993560291,996011786,993559783,996019142,993226033,996010363,993559783,996019142,993054446,1003338250
115,116,1,993054446,1003338250,993560127,996014165,993828294,996009177,993054446,1003338250,993700911,996011547,993054446,1003338250,993560127,996014165,993700911,996011547,993054446,1003338250,993700911,996011547,993828294,996009177
116,117,1,993054446,1003338250,993828294,996009177,994107070,996003992,993828294,996009177,994106157,996010356,993828294,996009177,994107070,996003992,994106157,996010356,993828294,996009177,994106157,996010356,993054446,1003338250
117,119,1,993560127,996014165,993680119,996006268,994107070,996003992,994107070,996003992,993584759,996012544,994107070,996003992,993560127,996014165,993584759,996012544,994107070,996003992,993584759,996012544,993680119,996006268
118,120,1,993054446,1003338250,994104658,996020795,994876431,996003655,994876431,996003655,994103514,996028766,994876431,996003655,993054446,1003338250,994103514,996028766,994876431,996003655,994103514,996028766,994104658,996020795
