triangle_id,edge_idx,sx,sy,tx,ty
987,0,-96.8205,42.0904,-96.8183,42.0904
988,0,-96.8458,42.0904,-96.8444,42.0904
989,0,-96.8444,42.0904,-96.8437,42.0904
990,0,-96.5552,41.8074,-96.5552,41.8059
991,0,-96.5552,41.8114,-96.5552,41.8074
995,0,-96.5552,41.8274,-96.5552,41.8243
998,0,-96.5552,41.7955,-96.5552,41.7934
1000,0,-96.5553,41.8807,-96.5553,41.8796
1001,0,-96.5552,41.9009,-96.5552,41.8993
1002,0,-96.5552,41.8993,-96.5552,41.8985
1003,0,-96.5552,41.8985,-96.5552,41.8978
1006,0,-96.5552,41.8955,-96.5552,41.8883
1007,0,-96.5552,41.8865,-96.5552,41.8857
1008,0,-96.5552,41.8857,-96.5553,41.8848
1009,0,-96.5552,41.8842,-96.5553,41.8833
1013,0,-96.5552,41.9206,-96.5552,41.9196
1015,0,-96.5551,41.9293,-96.5552,41.9276
1016,0,-96.5552,41.9303,-96.5551,41.9293
1017,0,-96.5552,41.9316,-96.5552,41.9303
1018,0,-96.5552,41.9325,-96.5552,41.9316
1019,0,-96.5552,41.9356,-96.5552,41.9325
1022,0,-96.5552,41.9076,-96.5552,41.9075
1024,0,-96.5552,41.9141,-96.5552,41.9106
1025,0,-96.5552,41.9589,-96.5552,41.9564
1026,0,-96.5552,41.9469,-96.5551,41.9448
1027,0,-96.5551,41.949,-96.5552,41.9481
1028,0,-96.5552,41.977,-96.5552,41.9746
1029,0,-96.5552,41.9731,-96.5552,41.9697
1030,0,-96.5552,41.9697,-96.5552,41.9665
1031,0,-96.5552,41.9658,-96.5552,41.965
1032,0,-96.5552,41.965,-96.5552,41.9641
1033,0,-96.5552,41.9641,-96.5552,41.9598
1042,0,-96.5552,41.9883,-96.5552,41.9872
1048,0,-96.5551,42.0033,-96.5552,42.0028
1049,0,-96.5552,42.0028,-96.5553,42.0017
1050,0,-96.5553,42.0017,-96.5552,42
